ts_code,name,market,list_date,m_fee,c_fee,issue_amount,benchmark,invest_type,industry,cleaned_benchmark_name,benchmark_code,excess_return_mean,tracking_error,excess_return_5d_ma,excess_return_10d_ma,excess_return_15d_ma,excess_return_20d_ma,turnover_1y_mean,turnover_rate,turnover_6m_vs_3y,turnover_1y_std,low_quantile_turnover,turnover_ratio_1w,turnover_ratio_1m,turnover_acceleration,turnover_quantile,is_price_turnover_divergence,annualized_volatility,max_drawdown,latest_discount_rate,discount_quantile_1y,discount_quantile_3y,change_5d_discount,change_10d_discount,turnover_6m_mean,turnover_3y_mean,data_status,turnover_pct_in_industry,turnover_pct_in_industry_quantile
588130.SH,科创医药ETF基金,E,2025-05-28,0.5,0.1,2.0208,上证科创板生物医药指数收益率,被动指数型,医疗,上证科创板生物医药指数,399441.SZ,0.044894736842105265,12.307474584968643,-0.041140000000000086,-0.03885000000000012,-0.06028666666666672,0.05917499999999998,8886.065105263158,0.04397300626119932,1.0,14149.394458170145,3017.0372500000003,0.2611172060570071,0.2611172060570071,1.0,,True,23.22996544313045,0.0658253221834526,0.0029570096292364963,0.9342105263157895,0.9342105263157895,0.004296330514763805,0.0008187345045038404,8886.065105263158,8886.065105263158,ok,0.0008161132262131956,0.32653061224489793
159366.SZ,港股医疗ETF,E,2025-04-14,0.5,0.1,2.1233,中证港股通医疗主题指数收益率(按照估值汇率折算),被动指数型,医疗,中证港股通医疗主题指数(按照估值汇率折算),932069.CSI,-0.0003252427184465812,11.65199684922862,-0.13214,0.011930000000000041,-0.037413333333333264,0.092455,164740.96315094337,0.775872289129861,1.0,184409.71003590623,15570.735499999999,8.257763702726889,8.257763702726889,1.0,,False,28.9823040180744,0.09692805881969904,-0.0014806040864673788,0.3584905660377358,0.3584905660377358,0.005831549216608802,-0.003454450619899324,164740.96315094337,164740.96315094337,ok,0.025809368438429705,0.8724489795918368
159202.SZ,恒生互联网科技ETF,E,2025-04-16,0.5,0.1,2.374,恒生互联网科技业指数收益率(经估值汇率调整),被动指数型,科技,恒生互联网科技业指数(经估值汇率调整),h30535.CSI,-0.414773076923077,28.736290772990227,0.6589800000000002,-0.4833499999999999,-1.0966933333333333,-1.41022,69737.29088461539,0.2937543845181777,1.0,60251.77618259184,8197.380799999999,2.017821356360573,2.017821356360573,1.0,,False,25.129896959403833,0.06088364188491247,-0.004374453193350738,0.40384615384615385,0.40384615384615385,0.0044438889583247555,-0.004813242135869338,69737.29088461539,69737.29088461539,ok,0.006027261434458255,0.673469387755102
159217.SZ,港股通创新药ETF工银,E,2025-04-03,0.4,0.07,12.6616,经汇率调整后的国证港股通创新药指数收益率,被动指数型,医疗,经汇率调整后的国证港股通创新药指数,h50069.CSI,0.36119724770642203,39.02691428589562,0.7816800000000002,0.20045999999999992,-0.15835333333333323,0.35848500000000005,669953.7714999999,0.5291225212453402,1.0,366551.1550887876,92312.40000000001,4.264625778732545,4.264625778732545,1.0,,False,43.47996926335221,0.17315208920499997,-0.004623044096728325,0.36607142857142855,0.36607142857142855,0.010080054281513677,-0.0055842359746569835,669953.7714999999,669953.7714999999,ok,0.013328947392741073,0.7908163265306123
589100.SH,科创芯片ETF国泰,E,2025-04-07,0.5,0.1,2.8178,上证科创板芯片指数收益率,被动指数型,科技,上证科创板芯片指数,000685.SH,-0.002516216216216221,6.579983243072544,-0.13463999999999993,-0.33113999999999993,-0.02942666666666666,-0.009490000000000004,20492.891684684684,0.07272656570617037,1.0,15595.918640597163,7824.133,0.9865774079068778,0.9865774079068778,1.0,,True,38.9711548142272,0.14236558104054,0.003309474332332772,0.963963963963964,0.963963963963964,0.006513461516384,0.03211290623060156,20492.891684684684,20492.891684684684,ok,0.002946920917474091,0.5561224489795918
588170.SH,科创半导体ETF,E,2025-04-08,0.5,0.1,5.4515,上证科创板半导体材料设备主题指数收益率,被动指数型,科技,上证科创板半导体材料设备主题指数,931743.CSI,0.03331545454545456,6.567114740715521,-0.06646000000000007,-0.007540000000000035,0.0889866666666667,0.11140500000000005,54214.14103636363,0.09944811709871344,1.0,45202.84537553397,15764.0217,1.0694015005044484,1.0694015005044484,1.0,,False,29.09561947032881,0.10451295218803146,-8.547739123001026e-05,0.7363636363636363,0.7363636363636363,0.0035894919840253354,0.0026267770675520077,54214.14103636363,54214.14103636363,ok,0.0031943176741709867,0.5612244897959183
159316.SZ,恒生创新药ETF,E,2025-03-26,0.5,0.1,2.8634,恒生港股通创新药指数收益率(使用估值汇率折算),被动指数型,医疗,恒生港股通创新药指数(使用估值汇率折算),h50069.CSI,0.4134730434782608,37.01201896143778,0.9818000000000003,0.23880999999999988,-0.16223333333333345,0.36949499999999996,332831.5555254237,1.162364865284011,1.0,234912.5570127565,44361.7073,13.762975005238527,13.762975005238527,1.0,,False,41.57848935132001,0.18494476961408732,-0.006855439642324927,0.22033898305084745,0.22033898305084745,0.004681305848146107,-0.005095837676424724,332831.5555254237,332831.5555254237,ok,0.043015725020298295,0.923469387755102
159368.SZ,创业板新能源ETF华夏,E,2025-03-24,0.15,0.05,2.0629,创业板新能源指数收益率,被动指数型,科技,创业板新能源指数,000941.CSI,0.09216166666666668,11.09930765533919,0.2989,0.48356999999999994,0.29312,0.315195,4946.163358333332,0.023976748065021727,1.0,6144.613889450065,745.02315,0.5086281448446361,0.5086281448446361,1.0,,False,34.55905839190934,0.1883906978001703,-0.007986984173938708,0.016666666666666666,0.016666666666666666,0.003474573593985701,-0.010409160544262493,4946.163358333332,4946.163358333332,ok,0.0015192795894634745,0.4336734693877551
588250.SH,科创生物医药ETF,E,2025-03-21,0.5,0.1,5.8168,上证科创板生物医药指数收益率,被动指数型,医疗,上证科创板生物医药指数,399441.SZ,0.09335785123966941,14.580746378289513,0.05649999999999986,-0.0369900000000001,-0.0634466666666667,0.08634499999999996,24184.380876033054,0.041576779115721794,1.0,23327.184412490715,9999.323,0.2493908179755192,0.2493908179755192,1.0,,False,27.880387129177315,0.10067777740800002,0.002536556251865167,0.8842975206611571,0.8842975206611571,0.0001336417491133628,0.001445703828614374,24184.380876033054,24184.380876033054,ok,0.0007794627865369924,0.3163265306122449
588960.SH,科创板新能源ETF,E,2025-02-19,0.5,0.1,2.0858,上证科创板新能源指数收益率,被动指数型,科技,上证科创板新能源指数,000941.CSI,0.06338741258741257,19.289487117856957,-0.3052600000000002,-0.28039000000000003,-0.18884000000000006,0.04247499999999991,6134.538293706294,0.029410961231691887,0.7088279921570653,13664.025084905888,469.5778,0.7044132131556238,0.7044132131556238,1.0,,False,35.00665538129054,0.23148261373040846,-0.006403013182674331,0.04195804195804196,0.04195804195804196,-0.006731582264323712,-0.00734149965993726,4348.332461538462,6134.538293706294,ok,0.0021040924064920216,0.4846938775510204
